,input,output
14864,Cc1cn2cccc2c(N2CCC(N)C2)n1,Cc1cn2cccc2c(N2CCC(NC(=O)OC(C)(C)C)C2)n1
14865,C[C@H](O)C(=O)OCc1ccccc1,BrCc1ccccc1.C[C@H](O)C(=O)O
14866,CCOC(=O)[C@@H]1Cc2cccnc2N1C(=O)[C@@H](NC(=O)[C@H](C)N(C)C(=O)OC(C)(C)C)C1CCOCC1,CCOC(=O)[C@@H]1Cc2cccnc2N1C(=O)[C@@H](N)C1CCOCC1.C[C@@H](C(=O)O)N(C)C(=O)OC(C)(C)C
14867,CCOC(=O)/C=C/c1c(C)nn(C)c1-n1ccc2cc(C)cnc21,CCOC(=O)CP(=O)(OCC)OCC.Cc1cnc2c(ccn2-c2c(C=O)c(C)nn2C)c1
14868,COC(=O)C1(c2ccc(Br)cc2[N+](=O)[O-])CO1,C=C(C(=O)OC)c1ccc(Br)cc1[N+](=O)[O-].O=C(OO)c1cccc(Cl)c1
14869,NCc1ccc(COc2cc(Cl)nc(N)n2)cc1,Nc1nc(Cl)cc(OCc2ccc(CNC(=O)C(F)(F)F)cc2)n1
14870,Cc1ccc(S(=O)(=O)OCCCCCCCCCCCBr)cc1,Cc1ccc(S(=O)(=O)Cl)cc1.OCCCCCCCCCCCBr
14871,CCOC[C@@H]1CCCN(C[C@H]2CCCC[C@@H]2NC(=O)c2ccc(CNC(=O)C(C)C)cc2)C1,CC(C)C(=O)NCc1ccc(C(=O)O)cc1.CCOC[C@@H]1CCCN(C[C@H]2CCCC[C@@H]2N)C1
14872,CNC(=O)c1cccc(Oc2ccc(N)c([N+](=O)[O-])c2)c1,CNC(=O)c1cccc(O)c1.Nc1ccc(Cl)cc1[N+](=O)[O-]
14873,CC(C)S(=O)(=O)c1ccccc1Nc1nc(N)ncc1Cl,CC(C)S(=O)(=O)c1ccccc1Nc1nc(Cl)ncc1Cl.N
14874,C[C@]12CC[C@@H]3c4ccc(OCc5ccccc5)cc4C[C@@H](CCCCCO)[C@H]3[C@@H]1C=CC21OCCO1,BrCc1ccccc1.C[C@]12CC[C@@H]3c4ccc(O)cc4C[C@@H](CCCCCO)[C@H]3[C@@H]1C=CC21OCCO1
14875,CCCCCC/C=C/C=O,CCCCCC/C=C/C(=O)Cl
14876,NC1CN(C(c2ccccc2)c2ccccc2)C1,O=C1c2ccccc2C(=O)N1C1CN(C(c2ccccc2)c2ccccc2)C1
14877,CNCC1CCSc2c1[nH]c1ccccc21,CNCC1CCSc2c1n(Cc1ccccc1)c1ccccc21
14878,COc1ccc(C(=O)c2ccc3cccnc3c2[N+](=O)[O-])c(OC)c1,COc1ccc(C(O)c2ccc3cccnc3c2[N+](=O)[O-])c(OC)c1
14879,CCc1nc(C)ccc1C#N,C=Cc1nc(C)ccc1C#N
14880,CNc1ccc(Cl)c(C(=O)Nc2ccc3c(c2)-c2c(c(C(N)=O)nn2-c2ccc4c(c2)OCO4)CC3)n1,CN.NC(=O)c1nn(-c2ccc3c(c2)OCO3)c2c1CCc1ccc(NC(=O)c3nc(Cl)ccc3Cl)cc1-2
14881,O=C(CNCc1ccccc1)Nc1ccc(OCc2ccccc2)cc1,NCc1ccccc1.O=C(CCl)Nc1ccc(OCc2ccccc2)cc1
14882,O=[N+]([O-])c1ccc(C2CCc3cc(O)ccc3O2)cc1,O=[N+]([O-])c1ccc(C2CC(O)c3cc(O)ccc3O2)cc1
14883,O=C(O)C(F)(F)F,CC(C)(C)OC(=O)N(Cc1ccccc1)NC(=O)C(=O)C(Cc1ccccc1)NC(=O)[C@H]1CCC(=O)N1Cc1ccccc1
14884,CC(O)c1cnc(N2CCN(c3nc4ccc(C(F)(F)F)cc4[nH]3)CC2)c(Cl)c1,CC(=O)c1cnc(N2CCN(c3nc4ccc(C(F)(F)F)cc4[nH]3)CC2)c(Cl)c1
14885,Clc1ccc(OC2CC3CCC(C2)N3Cc2nnn[nH]2)cc1Cl,N#CCN1C2CCC1CC(Oc1ccc(Cl)c(Cl)c1)C2.[N-]=[N+]=[N-]
14886,O=C(Nc1nccs1)C(CC1CCCC1O)c1ccc(Cl)c(Cl)c1,COC(=O)C(CC1CCCC1O)c1ccc(Cl)c(Cl)c1.Nc1nccs1
14887,CSc1ccc(-c2ccc(OCC3CCN(C(=O)OC(C)C)CC3)cn2)c(F)c1,CC(C)OC(=O)N1CCC(COc2ccc(Br)nc2)CC1.CSc1ccc(B(O)O)c(F)c1
14888,CN1CCc2nc(COc3ccccc3)oc2C1=O,CI.O=C1NCCc2nc(COc3ccccc3)oc21
14889,CN(C)C(=O)CN1CCC(CCOc2ccc(-c3nc(C#N)nc4c3ccn4CC3CCCO3)cc2C(F)(F)F)CC1,CN(C)C(=O)CCl.N#Cc1nc(-c2ccc(OCCC3CCNCC3)c(C(F)(F)F)c2)c2ccn(CC3CCCO3)c2n1
14890,Cn1ncc2cc(-c3ccc(C#N)cc3)cc(COCC3(c4ccccc4)CCNCC3)c21,Cn1ncc2cc(-c3ccc(C#N)cc3)cc(COCC3(c4ccccc4)CCN(C(=O)OC(C)(C)C)CC3)c21
14891,C[C@@H](c1ccc(-c2ccc(F)cc2F)cc1)N1CC[C@](CCNC(=O)CO)(c2ccc(F)cc2)OC1=O,C[C@@H](c1ccc(-c2ccc(F)cc2F)cc1)N1CC[C@](CCN)(c2ccc(F)cc2)OC1=O.O=C(O)CO
14892,N=C(Nc1ccc2c(c1)SCCN2C1CCNC1)c1cccs1,CC(C)(C)OC(=O)N1CCC(N2CCSc3cc(NC(=N)c4cccs4)ccc32)C1
14893,Oc1ccc2nncc(Cl)c2c1,COc1ccc2nncc(Cl)c2c1
14894,CC(=O)OCc1c(-c2cn(C)c(=O)c(Nc3ccc(N4CCN(C5COC5)CC4)cc3)n2)cc(F)cc1N1CCn2c(cc3c2CCCC3)C1=O,CC(=O)OCc1c(B2OC(C)(C)C(C)(C)O2)cc(F)cc1N1CCn2c(cc3c2CCCC3)C1=O.Cn1cc(Br)nc(Nc2ccc(N3CCN(C4COC4)CC3)cc2)c1=O
14895,C=CCOC(=O)N(Cc1cccc(-c2ccnc(NCCc3ccc(O)cc3)n2)c1)C(C)(C)C,C=CCOC(=O)N(Cc1cccc(-c2ccnc(Cl)n2)c1)C(C)(C)C.NCCc1ccc(O)cc1
14896,CCCCCSCCCSc1nc(N)n[nH]1,CCCCCCSCCSCCSc1nc(N)n[nH]1
14897,O[C@H]1CO[C@H]2OCC[C@@H]12,O[C@H]1CO[C@H]2OCC[C@@]12Br
14898,N#Cc1c(N2CCN(C(=O)c3ccco3)CC2)c2cc(Cl)cnc2n(Cc2cccc(F)c2)c1=O,Fc1cccc(CBr)c1.N#Cc1c(N2CCN(C(=O)c3ccco3)CC2)c2cc(Cl)cnc2[nH]c1=O
14899,O=C1c2c(cc(Nc3ccccc3)cc2C(F)(F)F)[C@@H]2CNCCN12,CC(C)(C)OC(=O)N1CCN2C(=O)c3c(cc(Nc4ccccc4)cc3C(F)(F)F)[C@@H]2C1
14900,O=C(Cc1ccc(Cl)c(Cl)c1)N1CCN(Cc2ccccc2)CC1CO,O=C(O)Cc1ccc(Cl)c(Cl)c1.OCC1CN(Cc2ccccc2)CCN1
14901,CC1(C2CCCC2)Cc2cc(OCc3cccc(CSc4ccncc4)c3)c(Cl)c(Cl)c2C1=O,CC1(C2CCCC2)Cc2cc(O)c(Cl)c(Cl)c2C1=O.OCc1cccc(CSc2ccncc2)c1
14902,COc1c(C)c(Cl)nc(Cn2ncc3c(Cl)nc(N)nc32)c1C,COc1c(C)c(Cl)nc(CCl)c1C.Nc1nc(Cl)c2cn[nH]c2n1
14903,CCN1CCC2(CC1)c1ccccc1Sc1c(O)cccc12,CCN1CCC2(CC1)c1ccccc1Sc1c(OC)cccc12
14904,CC(C)(C)OC(=O)N1CC=C(c2ccc(Br)c(F)c2)CC1,CC(C)(C)OC(=O)N1CC=C(B2OC(C)(C)C(C)(C)O2)CC1.Fc1cc(I)ccc1Br
14905,CCCCCC=C(c1ccccc1)c1ccccc1,CCCCCC[P+](c1ccccc1)(c1ccccc1)c1ccccc1
14906,COc1ccccc1OC(F)(F)F,CI.Oc1ccccc1OC(F)(F)F
14907,COC(=O)C(=O)Cc1cccc2ccccc12,C=[N+]=[N-].O=C(O)C(=O)Cc1cccc2ccccc12
14908,O=C(NCCC12CC3CC(CC(C3)C1)C2)c1cc(-c2ccccc2C(=O)O)ccc1Cl,COC(=O)c1ccccc1-c1ccc(Cl)c(C(=O)NCCC23CC4CC(CC(C4)C2)C3)c1
14909,CCOC(=O)N1CCc2sc3ccn(-c4ccccc4)c3c2CC1,CCOC(=O)N1CCc2sc3cc[nH]c3c2CC1.Ic1ccccc1
14910,COC(=O)c1cn2ncc(C#N)c(Nc3ccc(Oc4ccccc4OC)cc3)c2c1C,COC(=O)c1cn2ncc(C#N)c(Nc3ccc(Oc4ccccc4OC(C)(C)C(=O)OC(C)(C)C)cc3)c2c1C
14911,Fc1ncccc1N1CCOCC1,C1COCCN1.Fc1ncccc1I
14912,CC(C)(CN)c1ccc([N+](=O)[O-])cc1F,CC(C)(C#N)c1ccc([N+](=O)[O-])cc1F
14913,Cc1onc(-c2cccc(F)c2)c1CNc1ccc(C(=O)NCC(F)(F)F)cn1,COC(=O)c1ccc(NCc2c(-c3cccc(F)c3)noc2C)nc1.NCC(F)(F)F
14914,COc1cc(-c2cnn(CCO[Si](c3ccccc3)(c3ccccc3)C(C)(C)C)c2)ccc1N,CC(C)(C)[Si](OCCn1cc(I)cn1)(c1ccccc1)c1ccccc1.COc1cc(B2OC(C)(C)C(C)(C)O2)ccc1N
14915,COc1cc(OC)c(-c2c(C)c(C(=O)Nc3c(F)cccc3F)nn2C)cn1,CCOC(=O)c1nn(C)c(-c2cnc(OC)cc2OC)c1C.Nc1c(F)cccc1F
14916,Cc1cc(Cl)nc(N2CC[C@@H](F)C2)c1[N+](=O)[O-],Cc1cc(Cl)nc(Cl)c1[N+](=O)[O-].F[C@@H]1CCNC1
14917,CSCc1cc(Br)cnc1N(C(=O)OC(C)(C)C)C(=O)OC(C)(C)C,CC(C)(C)OC(=O)N(C(=O)OC(C)(C)C)c1ncc(Br)cc1CBr.C[S-]
14918,N#Cc1ccc(-c2ccc(OCCCCCCO)cc2)cc1,N#Cc1ccc(-c2ccc(O)cc2)cc1.OCCCCCCBr
14919,COCCN(C(=O)c1cc(-c2ccc(OCc3ccccc3)cc2)c(=O)n2ccc3ccsc3c12)c1cc(C)ns1,COCCNc1cc(C)ns1.O=C(O)c1cc(-c2ccc(OCc3ccccc3)cc2)c(=O)n2ccc3ccsc3c12
14920,CC(C)(C)NC(=O)NC(C)(C)C#N,CC(C)(C)N=C=O.CC(C)(N)C#N
14921,Cc1ccc(-c2ccccc2)nc1,Cc1ccc(Br)nc1.OB(O)c1ccccc1
14922,Cn1c(CNc2ccc(C(=N)N)cc2)nc2cc(C(=O)N(CCC(=O)O)C3CCCC3)ccc21,CCOC(=O)CCN(C(=O)c1ccc2c(c1)nc(CNc1ccc(C(=N)N)cc1)n2C)C1CCCC1
14923,COC(=O)C[C@@H](N)CSCc1ccc(OC)cc1,COC(=O)C[C@H](CSCc1ccc(OC)cc1)NC(=O)OC(C)(C)C
14924,CNC(=O)c1cc(Oc2ccc(NC(=O)NC34CC5CC(CC(C5)C3)C4)cc2)ccn1,CNC(=O)c1cc(Oc2ccc(N)cc2)ccn1.O=C=NC12CC3CC(CC(C3)C1)C2
14925,CCOC(=O)N1CCC(Nc2nc3ccccc3n2Cc2csc(C)n2)CC1,CCOC(=O)N1CCC(Nc2nc3ccccc3[nH]2)CC1.Cc1nc(CCl)cs1
14926,CC(C)c1cc(C(=O)OC(C)(C)C)c(NC(=O)Nc2c(Cl)cccc2Cl)s1,CC(C)c1cc(C(=O)OC(C)(C)C)c(N)s1.O=C=Nc1c(Cl)cccc1Cl
14927,COC(=O)[C@@H]1C[C@H](NC(=O)c2nn(C(C)C)c3ccccc23)CN1C(=O)OC(C)(C)C,CC(C)n1nc(C(=O)O)c2ccccc21.COC(=O)[C@@H]1C[C@H](N)CN1C(=O)OC(C)(C)C
14928,COCN(C1CCCCC1)S(=O)(=O)O,CO.O=S(=O)(O)N(CCl)C1CCCCC1
14929,CC1(C)O[C@@H]2O[C@H](/C=C/c3ccc(-c4cncnc4)cc3)[C@H](CCn3nnc4ccccc4c3=O)[C@@H]2O1,CC1(C)O[C@@H]2O[C@H](/C=C/c3ccc(Br)cc3)[C@H](CCn3nnc4ccccc4c3=O)[C@@H]2O1.OB(O)c1cncnc1
14930,CCCCOc1ccc(C(=O)O)cc1,CCCCOc1ccc(C(=O)OCC)cc1
14931,O=[N+]([O-])c1cnc2cc(OCc3ccccc3)ccc2c1NCC1CCOCC1,NCC1CCOCC1.O=[N+]([O-])c1cnc2cc(OCc3ccccc3)ccc2c1Cl
14932,O=C(COc1ccc(I)cc1)NN=C1C(=O)Nc2ccc(I)cc21,NNC(=O)COc1ccc(I)cc1.O=C1Nc2ccc(I)cc2C1=O
14933,O=C(O)C(F)(F)F,CCN(CC)CCOc1cc(Cl)cc(N2CCN(C(=O)OC(C)(C)C)CC2)c1
14934,Nc1c(F)cc(CCO)cc1F,O=[N+]([O-])c1c(F)cc(CCO)cc1F
14935,CN1CCN(S(=O)(=O)O)CC1,CN1CCNCC1.O=S(=O)(O)Cl
14936,C[C@H](NC(=O)c1cn(COCC[Si](C)(C)C)c2ncc(-c3cn(-c4cccc(Cl)c4)cn3)nc12)C(C)(C)C,CCCC[Sn](CCCC)(CCCC)c1cn(-c2cccc(Cl)c2)cn1.C[C@H](NC(=O)c1cn(COCC[Si](C)(C)C)c2ncc(Br)nc12)C(C)(C)C
14937,CN(C)c1cc(S(C)(=O)=O)ccc1-n1ncc2c(O)ncnc21,CNC.CS(=O)(=O)c1ccc(-n2ncc3c(O)ncnc32)c(F)c1
14938,CCCCCCCCCCCCNCC(F)(F)F,CCCCCCCCCCCCNC(=O)C(F)(F)F
14939,FC(F)(F)c1ccccc1-c1ccc(-c2nc(-c3cccc4c3CCN4)no2)cc1,FC(F)(F)c1ccccc1-c1ccc(-c2nc(-c3cccc4[nH]ccc34)no2)cc1
14940,CC(O)(C#CC#Cc1ccc(C(=O)N[C@H](C(=O)NO)C(C)(C)N)cc1)CO,COC(=O)[C@@H](NC(=O)c1ccc(C#CC#CC(C)(O)CO)cc1)C(C)(C)N.NO
14941,Cc1ccc(N)cc1-c1cc2ccccc2cn1,Cc1ccc(N)cc1B1OC(C)(C)C(C)(C)O1.Clc1cc2ccccc2cn1
14942,c1cncc(N2CCC3(CCCN3)C2)c1,c1ccc(CN2CCCC23CCN(c2cccnc2)C3)cc1
14943,CC(C)(C)OC(=O)N1CC[C@H](OC(=O)c2ccccc2)C1,CC(C)(C)OC(=O)N1CC[C@@H](OS(C)(=O)=O)C1.O=C([O-])c1ccccc1
14944,COc1cc(C(=O)c2ccc(C(F)(F)F)cc2)cc(N)c1OC,COc1cc(C(=O)c2ccc(C(F)(F)F)cc2)cc([N+](=O)[O-])c1OC
14945,CC(C)(C)OC(=O)N[C@H]1CCCC[C@H]1N=[N+]=[N-],CC(C)(C)OC(=O)N[C@H]1CCCC[C@@H]1OS(C)(=O)=O.[N-]=[N+]=[N-]
14946,O=C(O)C1(CCCCCOc2ccc(Cl)cc2)CO1,CCOC(=O)C1(CCCCCOc2ccc(Cl)cc2)CO1
14947,CCCc1cc(C)cc(Nc2cc(N[C@@H]3CCCC[C@@H]3N)nnc2C(N)=O)n1,CCCc1cc(C)cc(Nc2cc(N[C@@H]3CCCC[C@@H]3NC(=O)OC(C)(C)C)nnc2C(N)=O)n1
14948,CCN(C(=S)Nc1cc(Cl)ccc1C)c1c(C)nn(C)c1C,CCNc1c(C)nn(C)c1C.Cc1ccc(Cl)cc1N=C=S
14949,CC(C(N)=O)N1CCC(N(C)C2=NC(=O)C(=Cc3ccc4c(cnn4Cc4ccc(C(F)(F)F)cc4C(F)(F)F)c3)S2)CC1,CC(Br)C(N)=O.CN(C1=NC(=O)C(=Cc2ccc3c(cnn3Cc3ccc(C(F)(F)F)cc3C(F)(F)F)c2)S1)C1CCNCC1
14950,OCc1cnc(Cl)cn1,COC(=O)c1cnc(Cl)cn1
14951,COCCCN1CCOc2ccc(CO[C@H]3CN(S(=O)(=O)c4ccc(C)cc4)[C@@H](CC(C)(C)OC(=O)N(C)C)C[C@@H]3c3ccc(OC)cc3)cc21,CN(C)C(=O)Cl.COCCCN1CCOc2ccc(CO[C@H]3CN(S(=O)(=O)c4ccc(C)cc4)[C@@H](CC(C)(C)O)C[C@@H]3c3ccc(OC)cc3)cc21
14952,COc1ccc(C(C)C)cc1-c1ccc(C(F)(F)F)cc1CN(Cc1cc(C#N)cc(C(F)(F)F)c1)c1ccc(OCCCC(=O)OC(C)(C)C)cn1,CC(C)(C)OC(=O)CCCBr.COc1ccc(C(C)C)cc1-c1ccc(C(F)(F)F)cc1CN(Cc1cc(C#N)cc(C(F)(F)F)c1)c1ccc(O)cn1
14953,CCS(=O)CC1CC(c2ccc(C(F)(F)F)cc2)CN(C(=O)N2CCOCC2)C1,CCSCC1CC(c2ccc(C(F)(F)F)cc2)CN(C(=O)N2CCOCC2)C1.O=C(OO)c1cccc(Cl)c1
14954,N#Cc1ccc(Oc2ccc3c(c2)COB3O)c(CO)c1,N#Cc1ccc(Oc2ccc3c(c2)COB3O)c(C=O)c1
14955,O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O=S(=O)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[OH-]
14956,CN1CCN(c2cc(-c3ccc4c(c3)CN(S(=O)(=O)c3ccccc3)CC4)nc(N)n2)CC1,CN1CCN(c2cc(-c3ccc4c(c3)CNCC4)nc(N)n2)CC1.O=S(=O)(Cl)c1ccccc1
14957,COC(=O)c1ccc2c(c1)N(S(=O)(=O)c1c(C)cc(OC)cc1C)CC2,COC(=O)c1ccc2c(c1)NCC2.COc1cc(C)c(S(=O)(=O)Cl)c(C)c1
14958,O=C(O)c1ccc(NC(=O)c2ccc([N+](=O)[O-])cc2)cc1,Nc1ccc(C(=O)O)cc1.O=C(O)c1ccc([N+](=O)[O-])cc1
14959,CS(=O)(=O)c1ccc(C(=O)Nc2ccc(Cl)c(-c3ncc(C(=O)NO)cn3)c2)c(Cl)c1,COC(=O)c1cnc(-c2cc(NC(=O)c3ccc(S(C)(=O)=O)cc3Cl)ccc2Cl)nc1.NO
14960,CCCCCc1cccc(C#N)c1,CCCC=Cc1cccc(C#N)c1
14961,COCCn1ccc(C(=O)O)n1,CCOC(=O)c1ccn(CCOC)n1
14962,CC(C)(C)OC(=O)N1CCC(CCOc2ccc(-n3nc(C(C)(C)C)cc3N)cc2)CC1,CC(C)(C)OC(=O)N1CCC(CCO)CC1.CC(C)(C)c1cc(N)n(-c2ccc(O)cc2)n1
14963,COc1nn(C)c(=O)cc1Cn1cnc(C(F)(F)F)c(Oc2cc(Cl)cc(C#N)c2)c1=O,CI.COc1n[nH]c(=O)cc1Cn1cnc(C(F)(F)F)c(Oc2cc(Cl)cc(C#N)c2)c1=O
14964,COc1ccccc1C(=O)CN,COc1ccccc1C(=O)CN=[N+]=[N-]
14965,COc1ccccc1-c1nc(CNC23CC4CC(CC(C4)C2)C3)no1,COc1ccccc1-c1nc(CCl)no1.NC12CC3CC(CC(C3)C1)C2
14966,CCCCNC(=O)Nc1ccc(S(N)(=O)=O)cc1,CCCCN=C=O.Nc1ccc(S(N)(=O)=O)cc1
14967,CC(C)(C)OC(=O)N1CCN(c2ccc(-c3ccc(F)cc3)cn2)CC1,CC(C)(C)OC(=O)N1CCN(c2ccc(Br)cn2)CC1.OB(O)c1ccc(F)cc1
14968,COc1ccc(Cn2nc(C3CCN(C(=O)OC(C)(C)C)CC3)c3c(Oc4ccc(N)cc4F)ccnc32)cc1,COc1ccc(Cn2nc(C3=CCN(C(=O)OC(C)(C)C)CC3)c3c(Oc4ccc(N)cc4F)ccnc32)cc1
14969,COc1ncccc1OCC1CO1,COc1ncccc1O.ClCC1CO1
14970,O=C(Nc1ccc(Cl)c(C(F)(F)F)c1)Nc1ccc(OCc2ccccc2)cc1O,Nc1ccc(OCc2ccccc2)cc1O.O=C=Nc1ccc(Cl)c(C(F)(F)F)c1
14971,Brc1ccc2ncnc(N3CCOCC3)c2c1,C1COCCN1.Clc1ncnc2ccc(Br)cc12
14972,FC(F)(F)c1cc(NC(=S)Nc2ccc(Sc3ccc(-c4ccccc4)nn3)cc2)ccc1Cl,FC(F)(F)c1cc(N=C=S)ccc1Cl.Nc1ccc(Sc2ccc(-c3ccccc3)nn2)cc1
14973,CCOC(=O)CCC(C)=Cc1ccccc1,CCOC(=O)CCC(C)=O.c1ccc(C[P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1
14974,Nc1cc(NS(=O)(=O)c2ccccc2)ccc1NCC1CCCO1,O=[N+]([O-])c1cc(NS(=O)(=O)c2ccccc2)ccc1NCC1CCCO1
14975,C=CCOP(=O)(OCC=C)OCc1c(OC)cccc1C(=O)O[C@@](Cn1cncn1)(c1ccc(F)cc1F)[C@@H](C)S[C@H]1CO[C@H](/C=C/C=C/c2ccc(C#N)cc2F)OC1,C=CCOP(=O)(OCC=C)OCc1c(OC)cccc1C(=O)Cl.C[C@@H](S[C@H]1CO[C@H](/C=C/C=C/c2ccc(C#N)cc2F)OC1)[C@](O)(Cn1cncn1)c1ccc(F)cc1F
14976,CC(C)(C)OC(=O)N1CCC[C@@H]1CCc1ccccc1,CC(C)(C)OC(=O)N1CCC[C@H]1C=Cc1ccccc1
14977,NS(=O)(=O)c1ccccc1NC(=O)c1c(O)c2ccccc2n(Cc2ccccn2)c1=O,CCOC(=O)c1c(O)c2ccccc2n(Cc2ccccn2)c1=O.Nc1ccccc1S(N)(=O)=O
14978,COCCCO[C@@H](c1cccc(F)c1-c1cccc(C)c1)[C@H]1CNCCO1,COCCCO[C@@H](c1cccc(F)c1-c1cccc(C)c1)[C@H]1CN(C(=O)OC(C)(C)C)CCO1
14979,CC(C)(C)NS(=O)(=O)c1cc(C(=O)N2CCC(CC=O)(c3ccccc3)OC2)c(Cl)cc1F,CC(C)(C)NS(=O)(=O)c1cc(C(=O)N2CCC(CCO)(c3ccccc3)OC2)c(Cl)cc1F
14980,O=C(CC(CCN1CCC(O)(c2ccccc2)CC1)c1ccc(Cl)c(Cl)c1)n1ccc2ccccc21,O=CCC(CC(=O)n1ccc2ccccc21)c1ccc(Cl)c(Cl)c1.OC1(c2ccccc2)CCNCC1
14981,CC1(C)C(=O)CC1C(=O)O,COC(=O)C1CC(=O)C1(C)C
14982,CC=C=CCOc1ccc(S(=O)(=O)N(C)[C@H](C(=O)O)C(C)C)cc1,CC=C=CCOc1ccc(S(=O)(=O)N(C)C(C(=O)OC)C(C)C)cc1
14983,Oc1ccc(N2CCN(c3nncc4ccccc34)CC2)cc1,Clc1nncc2ccccc12.Oc1ccc(N2CCNCC2)cc1
14984,CCOc1cc(C(=O)NN)ccc1[N+](=O)[O-],CCOc1cc(C(=O)O)ccc1[N+](=O)[O-].NN
14985,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](CCOC(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C)Cn1cnc2cnc(N)nc21,CCCCCCCCCCCCCCCCCC(=O)OC[C@H](CCOC(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)C)Cn1cnc2c(Cl)nc(N)nc21
14986,Nc1nc(=O)n(COCCO)cc1C#CCNC(=O)C(F)(F)F,C#CCNC(=O)C(F)(F)F.Nc1nc(=O)n(COCCO)cc1I
14987,Oc1ccc(CCc2c(Cc3ccccc3)sc3ccccc23)cc1,COc1ccc(CCc2c(Cc3ccccc3)sc3ccccc23)cc1
14988,Cc1ccc2c(N3CCN(CC(C)c4cccc(N)c4)CC3)cccc2n1,Cc1ccc2c(N3CCN(CC(C)c4cccc([N+](=O)[O-])c4)CC3)cccc2n1
14989,COc1cc(COc2nn(-c3ccccc3)cc2/C=C/C=O)ccc1OCc1nc(-c2ccco2)oc1C,COc1cc(COc2nn(-c3ccccc3)cc2/C=C/CO)ccc1OCc1nc(-c2ccco2)oc1C
14990,C=C1Cc2ccccc2CON(C(=O)OC(C)(C)C)C1,C=C(CCl)CN(OCc1ccccc1I)C(=O)OC(C)(C)C
14991,COc1cc2c(Oc3ccc4cccnc4c3)ncnc2cc1O,COc1cc2c(Oc3ccc4cccnc4c3)ncnc2cc1OCc1ccccc1
14992,c1cnc2c(c1)ccc1ccc(-c3nnn[nH]3)nc12,N#Cc1ccc2ccc3cccnc3c2n1.[N-]=[N+]=[N-]
14993,CCOC(=O)c1cn(-c2cc(NC(C)=O)ncc2C)cc1-c1ccccc1Cl,CC(=O)Nc1cc(Br)c(C)cn1.CCOC(=O)c1c[nH]cc1-c1ccccc1Cl
14994,O=Cc1cccc(C2CC2)c1,c1cc(C2CC2)cc(C2OCCO2)c1
14995,O=Cc1ccc(-c2cc3c(Nc4ccc5c(cnn5Cc5ccccc5)c4)ncnc3cn2)o1,c1ccc(Cn2ncc3cc(Nc4ncnc5cnc(-c6ccc(C7OCCO7)o6)cc45)ccc32)cc1
14996,CC(C)C(=O)Nc1cccc(C2CCN(C[C@@H](C)COc3ccccc3Br)CC2)c1,CC(C)C(=O)Nc1cccc(C2CCNCC2)c1.C[C@H](CCl)COc1ccccc1Br
14997,COc1cc(F)ccc1-c1ccc(C(c2ccncc2)N2CCN(C(C)=O)CC2)cc1,CC(=O)N1CCNCC1.COc1cc(F)ccc1-c1ccc(C(OS(C)(=O)=O)c2ccncc2)cc1
14998,N#CCCCn1cc(C(=O)O)c(Nc2ccc(I)cc2F)cc1=O,CCOC(=O)c1cn(CCCC#N)c(=O)cc1Nc1ccc(I)cc1F
14999,O=C(Nc1cc(C(F)(F)F)ccc1O)c1ccncc1I,Nc1cc(C(F)(F)F)ccc1O.O=C(O)c1ccncc1I
15000,CNS(=O)(=O)CC(C)c1ccc(-c2ccccc2F)cc1,CC(CS(=O)(=O)Cl)c1ccc(-c2ccccc2F)cc1.CN
15001,CCOc1cc(C(F)(F)F)ccc1C(=O)N(C)OC,CCOc1cc(C(F)(F)F)ccc1C(=O)O.CNOC
15002,NC(=O)c1cc(-c2cccc(F)c2)cc2c(C3CCN(S(=O)(=O)CCCN4CCOCC4)CC3)n[nH]c12,C1COCCN1.NC(=O)c1cc(-c2cccc(F)c2)cc2c(C3CCN(S(=O)(=O)CCCCl)CC3)n[nH]c12
15003,CC(C)(C)OC(=O)NC(C(=O)Nc1ncccc1C(=O)c1ccc(F)cc1)c1cccs1,CC(C)(C)OC(=O)NC(C(=O)O)c1cccs1.Nc1ncccc1C(=O)c1ccc(F)cc1
15004,CNC(=O)C(=O)CCCCCCC(=O)NNC(=O)c1cccs1,CNC(=O)C(=O)CCCCCCC(=O)O.NNC(=O)c1cccs1
15005,CC1CC(=O)NN=C1c1ccc(NCc2ccccc2)c(N)c1,CC1CC(=O)NN=C1c1ccc(NCc2ccccc2)c([N+](=O)[O-])c1
15006,OCC1CCCCN1C(=S)Nc1ccccc1Cl,OCC1CCCCN1.S=C=Nc1ccccc1Cl
15007,CCOC(=O)c1ccccc1N(CC(=O)N(C)c1ccccc1)C(=O)CNC(=O)Nc1cccc(C(C)O)c1,CC(O)c1cccc(N)c1.CCOC(=O)c1ccccc1N(CC(=O)N(C)c1ccccc1)C(=O)CN=C=O
15008,O=C(O)CN1CCC(O)CC1,O=C(CN1CCC(O)CC1)OCc1ccccc1
