Dataset_ID,A_GHz,B_GHz,C_GHz,Dipole_Debye,Polarizability_Bohr3,HOMO_Hartree,LUMO_Hartree,Gap_Hartree,R2_Bohr2,ZPVE_Hartree,U_298K_Hartree,H_298K_Hartree,G_298K_Hartree,Cv_cal_mol_K,SMILES,InChI
gdb_457,7.64601,3.12341,2.31329,1.8189,55.75,-0.2252,0.0249,0.2501,566.4241,0.119949,-270.43928,-270.433217,-270.432273,-270.468829,CC1=CCOC1,"InChI=1S/C5H8O/c1-5-2-3-6-4-5/h2H,3-4H2,1H3"
gdb_458,7.74998,3.42753,2.48701,1.2483,50.7,-0.2399,0.0319,0.2718,530.0606,0.109278,-286.516879,-286.510983,-286.510039,-286.546498,CC1=NCCO1,"InChI=1S/C4H7NO/c1-4-5-2-3-6-4/h2-3H2,1H3"
gdb_459,6.71122,3.17565,2.34459,0.1489,61.16,-0.2335,0.0313,0.2648,587.2379,0.144419,-234.516241,-234.51027,-234.509326,-234.545523,CC1CC=CC1,"InChI=1S/C6H10/c1-6-4-2-3-5-6/h2-3,6H,4-5H2,1H3"
gdb_460,6.95109,3.605,2.72215,1.8411,49.49,-0.246,0.0261,0.2721,504.1131,0.109554,-286.510514,-286.504912,-286.503968,-286.539796,CC1CN=CO1,"InChI=1S/C4H7NO/c1-4-2-5-3-6-4/h3-4H,2H2,1H3"
gdb_461,5.80128,3.66753,2.83902,1.4817,53.91,-0.2461,0.0209,0.267,510.4532,0.120948,-270.441325,-270.435739,-270.434794,-270.470141,OC1CC=CC1,"InChI=1S/C5H8O/c6-5-3-1-2-4-5/h1-2,5-6H,3-4H2"
gdb_462,6.66135,3.16539,2.35961,0.1605,61.66,-0.2341,0.03,0.2642,589.2794,0.144442,-234.516409,-234.510406,-234.509462,-234.545692,CC1CCC=C1,"InChI=1S/C6H10/c1-6-4-2-3-5-6/h2,4,6H,3,5H2,1H3"
gdb_463,7.02791,3.53681,2.66173,1.5301,49.75,-0.2473,0.0239,0.2712,509.7285,0.109629,-286.508233,-286.502604,-286.50166,-286.53756,CC1COC=N1,"InChI=1S/C4H7NO/c1-4-2-6-3-5-4/h3-4H,2H2,1H3"
gdb_464,6.77781,3.51016,2.61055,1.4505,55.,-0.2302,0.0182,0.2484,531.8706,0.120101,-270.437636,-270.4318,-270.430856,-270.466917,CC1OCC=C1,"InChI=1S/C5H8O/c1-5-3-2-4-6-5/h2-3,5H,4H2,1H3"
gdb_465,6.1547,3.46524,2.63178,1.7344,54.16,-0.2491,0.0142,0.2633,528.2233,0.121083,-270.441145,-270.435384,-270.43444,-270.470414,OC1CCC=C1,"InChI=1S/C5H8O/c6-5-3-1-2-4-5/h1,3,5-6H,2,4H2"
gdb_466,6.22174,2.91216,2.1948,0.0756,63.03,-0.3044,0.0828,0.3872,641.8924,0.168121,-235.723792,-235.71718,-235.716236,-235.754746,CC1CCCC1,"InChI=1S/C6H12/c1-6-4-2-3-5-6/h6H,2-5H2,1H3"
gdb_467,6.55719,3.16956,2.37365,1.5053,56.51,-0.2379,0.0868,0.3246,586.3351,0.144187,-271.647465,-271.641158,-271.640214,-271.67776,CC1CCCO1,"InChI=1S/C5H10O/c1-5-3-2-4-6-5/h5H,2-4H2,1H3"
gdb_468,6.72379,3.02517,2.29024,1.7082,56.14,-0.2381,0.0839,0.322,594.9572,0.144241,-271.642927,-271.63658,-271.635636,-271.673114,CC1CCOC1,"InChI=1S/C5H10O/c1-5-2-3-6-4-5/h5H,2-4H2,1H3"
gdb_469,7.02085,3.30173,2.50629,1.2942,49.23,-0.2502,0.0904,0.3406,539.3012,0.120486,-307.569255,-307.563241,-307.562296,-307.599195,CC1COCO1,"InChI=1S/C4H8O2/c1-4-2-5-3-6-4/h4H,2-3H2,1H3"
gdb_470,7.01872,3.42197,2.53081,1.0448,49.6,-0.2542,0.0896,0.3439,537.0339,0.120277,-307.573371,-307.567272,-307.566327,-307.603679,CC1OCCO1,"InChI=1S/C4H8O2/c1-4-5-2-3-6-4/h4H,2-3H2,1H3"
gdb_471,5.20474,3.4934,2.76418,1.3247,55.74,-0.2601,0.0738,0.3338,550.8423,0.144785,-271.648392,-271.642208,-271.641264,-271.678618,OC1CCCC1,"InChI=1S/C5H10O/c6-5-3-1-2-4-5/h5-6H,1-4H2"
gdb_472,5.60949,3.62344,2.87618,1.5931,49.05,-0.2428,0.0712,0.314,508.516,0.120836,-307.56626,-307.560326,-307.559382,-307.595858,OC1CCOC1,"InChI=1S/C4H8O2/c5-4-1-2-6-3-4/h4-5H,1-3H2"
gdb_473,3.56333,3.56313,2.51002,0.0164,63.6,-0.2571,0.0841,0.3412,642.4422,0.165387,-235.694216,-235.686596,-235.685652,-235.725092,CC1C(C)C1C,"InChI=1S/C6H12/c1-4-5(2)6(4)3/h4-6H,1-3H3"
gdb_474,3.86929,3.62098,2.67648,1.3139,56.45,-0.2441,0.0725,0.3165,589.5057,0.141848,-271.61858,-271.611272,-271.610327,-271.649185,CC1C(C)C1O,"InChI=1S/C5H10O/c1-3-4(2)5(3)6/h3-6H,1-2H3"
gdb_475,3.88714,3.62397,2.64105,1.3293,60.42,-0.2104,0.0826,0.293,607.6457,0.153308,-251.727102,-251.719552,-251.718607,-251.758017,CC1C(C)N1C,"InChI=1S/C5H11N/c1-4-5(2)6(4)3/h4-5H,1-3H3"
gdb_476,4.14245,3.72097,2.84576,1.9714,49.27,-0.2301,0.0537,0.2838,539.3304,0.118633,-307.540766,-307.533965,-307.53302,-307.570981,CC1C(O)C1O,"InChI=1S/C4H8O2/c1-2-3(5)4(2)6/h2-6H,1H3"
gdb_477,4.20573,4.20358,3.19021,0.6618,41.57,-0.2552,0.0505,0.3058,476.1977,0.096192,-343.468335,-343.462548,-343.461604,-343.497233,OC1C(O)C1O,InChI=1S/C3H6O3/c4-1-2(5)3(1)6/h1-6H
gdb_478,5.88257,3.5926,2.86567,0.3029,60.48,-0.243,0.0951,0.338,542.9521,0.143756,-234.474951,-234.469056,-234.468112,-234.50378,CC12CC1CC2,"InChI=1S/C6H10/c1-6-3-2-5(6)4-6/h5H,2-4H2,1H3"
gdb_479,6.0133,3.92776,3.04795,1.6329,53.34,-0.2287,0.0868,0.3155,498.0795,0.119588,-270.392444,-270.386783,-270.385839,-270.421106,CC12CC1CO2,"InChI=1S/C5H8O/c1-5-2-4(5)3-6-5/h4H,2-3H2,1H3"
gdb_480,6.30494,3.69329,2.91269,1.8852,53.11,-0.2293,0.0805,0.3098,506.8939,0.119607,-270.388222,-270.382545,-270.381601,-270.416941,CC12CC1OC2,"InChI=1S/C5H8O/c1-5-2-4(5)6-3-5/h4H,2-3H2,1H3"
gdb_481,6.49682,3.64898,2.93229,1.8535,53.26,-0.2442,0.0955,0.3397,508.8551,0.119394,-270.401391,-270.39568,-270.394736,-270.430118,CC12CCC1O2,"InChI=1S/C5H8O/c1-5-3-2-4(5)6-5/h4H,2-3H2,1H3"
gdb_482,6.06624,3.74807,2.96204,1.1413,53.1,-0.2475,0.0834,0.3309,499.7541,0.120085,-270.397623,-270.392001,-270.391057,-270.426196,OC12CC1CC2,"InChI=1S/C5H8O/c6-5-2-1-4(5)3-5/h4,6H,1-3H2"
gdb_483,6.50004,3.85598,3.01225,2.2569,45.92,-0.2318,0.0706,0.3024,464.135,0.095993,-306.309029,-306.303682,-306.302738,-306.337396,OC12CC1OC2,"InChI=1S/C4H6O2/c5-4-1-3(4)6-2-4/h3,5H,1-2H2"
gdb_484,619867.68314,1.33455,1.33454,0.0151,72.39,-0.2465,-0.0565,0.19,802.1485,0.046718,-229.615446,-229.609222,-229.608278,-229.639949,C#CC#CC#C,InChI=1S/C6H2/c1-3-5-6-4-2/h1-2H
gdb_485,0,1.34015,1.34015,4.5941,63.48,-0.284,-0.085,0.199,777.4112,0.036829,-245.711897,-245.706152,-245.705208,-245.733762,C#CC#CC#N,InChI=1S/C5HN/c1-2-3-4-5-6/h1H
gdb_486,0.,1.344106,1.344106,0.,55.28,-0.3277,-0.1164,0.2113,754.2424,0.027023,-261.802956,-261.79743,-261.796485,-261.828854,N#CC#CC#N,InChI=1S/C4N2/c5-3-1-2-4-6
gdb_487,25.04915,1.45902,1.40244,0.0008,57.87,-0.2615,0.0391,0.3006,799.7895,0.093925,-232.030352,-232.023466,-232.022522,-232.06066,C#CCCC#C,"InChI=1S/C6H6/c1-3-5-6-4-2/h1-2H,5-6H2"
gdb_488,25.27902,1.46993,1.41333,3.4446,52.71,-0.2821,0.0193,0.3014,773.7747,0.083685,-248.137789,-248.131277,-248.130333,-248.167922,C#CCCC#N,"InChI=1S/C5H5N/c1-2-3-4-5-6/h1H,3-4H2"
gdb_489,25.56861,1.4803,1.4239,0.0004,47.69,-0.3397,-0.0013,0.3384,748.3461,0.073373,-264.243028,-264.236876,-264.235932,-264.27298,N#CCCC#N,InChI=1S/C4H4N2/c5-3-1-2-4-6/h1-2H2
gdb_490,54.35121,1.34851,1.31587,3.248,59.66,-0.275,-0.0922,0.1828,801.3233,0.047327,-266.777425,-266.77129,-266.770346,-266.806816,O=CC#CC#C,"InChI=1S/C5H2O/c1-2-3-4-5-6/h1,5H"
gdb_491,53.05616,1.35517,1.32142,2.4648,51.47,-0.3053,-0.1211,0.1843,776.7874,0.03702,-282.871678,-282.865901,-282.864957,-282.900943,O=CC#CC#N,InChI=1S/C4HNO/c5-3-1-2-4-6/h4H
gdb_492,27.62689,1.33139,1.32381,2.3737,48.1,-0.2894,-0.0927,0.1966,801.4852,0.0471,-303.940271,-303.933923,-303.932979,-303.970909,O=CC#CC=O,InChI=1S/C4H2O2/c5-3-1-2-4-6/h3-4H
gdb_493,9.41986,2.01611,1.74724,3.3466,50.16,-0.2698,0.0135,0.2834,665.5192,0.083043,-285.242094,-285.235491,-285.234547,-285.272892,N=COCC#C,"InChI=1S/C4H5NO/c1-2-3-6-4-5/h1,4-5H,3H2"
gdb_494,9.90773,2.00413,1.75551,3.3728,45.57,-0.2899,-0.0071,0.2828,646.0972,0.07256,-301.345683,-301.339414,-301.33847,-301.376371,N=COCC#N,"InChI=1S/C3H4N2O/c4-1-2-6-3-5/h3,5H,2H2"
gdb_495,20.3785,1.39567,1.35792,2.1557,52.99,-0.2549,-0.0302,0.2247,817.4048,0.093631,-269.20692,-269.199987,-269.199043,-269.238076,O=CCCC#C,"InChI=1S/C5H6O/c1-2-3-4-5-6/h1,5H,3-4H2"
gdb_496,20.93178,1.40036,1.36378,2.4084,48.12,-0.274,-0.0464,0.2276,792.702,0.083388,-285.313674,-285.307112,-285.306168,-285.344659,O=CCCC#N,"InChI=1S/C4H5NO/c5-3-1-2-4-6/h4H,1-2H2"
gdb_497,12.81085,1.74827,1.68822,3.3746,49.89,-0.2561,0.0191,0.2752,691.5345,0.083614,-285.276634,-285.270024,-285.269079,-285.307545,O=CNCC#C,"InChI=1S/C4H5NO/c1-2-3-5-4-6/h1,4H,3H2,(H,5,6)"
gdb_498,11.45832,1.83316,1.76977,3.6197,44.97,-0.2788,-0.0017,0.2772,652.22,0.073313,-301.382062,-301.375865,-301.37492,-301.412562,O=CNCC#N,"InChI=1S/C3H4N2O/c4-1-2-5-3-6/h3H,2H2,(H,5,6)"
gdb_499,10.361,1.92543,1.71402,3.7921,45.77,-0.2819,-0.0051,0.2768,660.5683,0.070779,-305.145002,-305.13858,-305.137636,-305.175765,O=COCC#C,"InChI=1S/C4H4O2/c1-2-3-6-4-5/h1,4H,3H2"
gdb_500,11.5039,1.86186,1.69559,3.8224,41.37,-0.3057,-0.0259,0.2797,649.8622,0.060309,-321.247305,-321.241236,-321.240291,-321.277891,O=COCC#N,"InChI=1S/C3H3NO2/c4-1-2-6-3-5/h3H,2H2"
gdb_501,15.05755,1.57467,1.51807,2.1434,45.71,-0.2626,-0.0461,0.2165,741.954,0.082446,-322.42132,-322.414586,-322.413642,-322.453432,N=COCC=O,"InChI=1S/C3H5NO2/c4-3-6-2-1-5/h1,3-4H,2H2"
gdb_502,18.86105,1.34062,1.32968,0.0008,48.98,-0.2578,-0.0386,0.2193,826.9499,0.093635,-306.384286,-306.377325,-306.376381,-306.416352,O=CCCC=O,"InChI=1S/C4H6O2/c5-3-1-2-4-6/h3-4H,1-2H2"
gdb_503,12.11679,1.70392,1.61189,3.1684,45.39,-0.2579,-0.0377,0.2203,701.3499,0.083436,-322.45625,-322.449687,-322.448743,-322.487435,O=CCNC=O,"InChI=1S/C3H5NO2/c5-2-1-4-3-6/h2-3H,1H2,(H,4,6)"
gdb_504,20.75251,1.47057,1.44259,1.8826,41.52,-0.2773,-0.0513,0.226,751.1914,0.070248,-342.324182,-342.31767,-342.316725,-342.355599,O=CCOC=O,"InChI=1S/C3H4O3/c4-1-2-6-3-5/h1,3H,2H2"
gdb_505,80.09637,1.11623,1.11623,0.0009,71.63,-0.2265,0.0026,0.2291,1041.5974,0.094213,-232.0639,-232.056277,-232.055333,-232.096384,CC#CC#CC,InChI=1S/C6H6/c1-3-5-6-4-2/h1-2H3
gdb_506,12.46112,1.50218,1.36312,0.7462,59.23,-0.2479,0.0422,0.2901,849.0499,0.093655,-232.036378,-232.028964,-232.028019,-232.069081,CC#CCC#C,"InChI=1S/C6H6/c1-3-5-6-4-2/h1H,5H2,2H3"
gdb_507,12.89478,1.51089,1.37546,4.0685,54.4,-0.2693,0.0206,0.2899,822.8323,0.083392,-248.143861,-248.136834,-248.13589,-248.176127,CC#CCC#N,"InChI=1S/C5H5N/c1-2-3-4-5-6/h4H2,1H3"
gdb_508,16.14416,1.34674,1.28155,2.7868,55.38,-0.2463,-0.0269,0.2194,887.4234,0.093413,-269.218553,-269.211092,-269.210148,-269.252047,CC#CCC=O,"InChI=1S/C5H6O/c1-2-3-4-5-6/h5H,4H2,1H3"
gdb_509,9.0195,2.12799,1.74027,4.5664,52.58,-0.2408,-0.0172,0.2236,680.2345,0.095665,-302.567313,-302.560613,-302.559669,-302.597876,CN=CNC=O,"InChI=1S/C3H6N2O/c1-4-2-5-3-6/h2-3H,1H3,(H,4,5,6)"
gdb_510,31.68669,1.43776,1.38714,4.1826,49.06,-0.2771,-0.0239,0.2532,807.2438,0.082782,-322.442708,-322.436104,-322.43516,-322.473001,CN=COC=O,"InChI=1S/C3H5NO2/c1-4-2-6-3-5/h2-3H,1H3"
gdb_511,21.91055,1.33512,1.27835,1.2338,67.,-0.2405,-0.0092,0.2313,897.8437,0.094569,-232.050342,-232.043419,-232.042475,-232.080639,CCC#CC#C,"InChI=1S/C6H6/c1-3-5-6-4-2/h1H,4H2,2H3"
gdb_512,21.9297,1.34235,1.28507,5.2846,59.94,-0.2842,-0.0374,0.2468,871.1625,0.084479,-248.151318,-248.144801,-248.143857,-248.18147,CCC#CC#N,"InChI=1S/C5H5N/c1-2-3-4-5-6/h2H2,1H3"
gdb_513,28.31357,1.31903,1.27032,1.9151,59.6,-0.2442,-0.024,0.2202,858.0993,0.070848,-267.963366,-267.956622,-267.955678,-267.993506,OCC#CC#C,"InChI=1S/C5H4O/c1-2-3-4-5-6/h1,6H,5H2"
gdb_514,28.35195,1.3265,1.27733,5.7112,52.46,-0.2849,-0.0526,0.2323,831.3517,0.060584,-284.062954,-284.056563,-284.055619,-284.092997,OCC#CC#N,"InChI=1S/C4H3NO/c5-3-1-2-4-6/h6H,4H2"
gdb_515,20.01298,1.29514,1.23498,3.9327,57.54,-0.2632,-0.0579,0.2053,914.8563,0.094355,-269.216495,-269.209287,-269.208342,-269.248873,CCC#CC=O,"InChI=1S/C5H6O/c1-2-3-4-5-6/h5H,2H2,1H3"
gdb_516,23.98185,1.28659,1.23046,3.9039,50.43,-0.2682,-0.0625,0.2057,870.3354,0.07066,-305.129953,-305.123003,-305.122059,-305.161238,OCC#CC=O,"InChI=1S/C4H4O2/c5-3-1-2-4-6/h3,6H,4H2"
gdb_517,14.22676,1.26311,1.19433,0.,65.82,-0.239,0.0588,0.2979,1025.2475,0.141612,-234.484521,-234.476522,-234.475578,-234.518462,CCC#CCC,"InChI=1S/C6H10/c1-3-5-6-4-2/h3-4H2,1-2H3"
gdb_518,12.55557,1.27566,1.25351,1.263,58.63,-0.2418,0.0372,0.279,959.5388,0.117895,-270.39928,-270.39147,-270.390525,-270.432574,CCC#CCO,"InChI=1S/C5H8O/c1-2-3-4-5-6/h6H,2,5H2,1H3"
gdb_519,14.89645,1.24544,1.24233,1.4538,51.62,-0.2515,0.0292,0.2807,921.7788,0.09418,-306.313706,-306.306114,-306.305169,-306.345991,OCC#CCO,"InChI=1S/C4H6O2/c5-3-1-2-4-6/h5-6H,3-4H2"
gdb_520,10.01609,1.67405,1.47386,2.8394,57.34,-0.2447,0.0282,0.2729,829.3437,0.129694,-287.683128,-287.675482,-287.674538,-287.715221,CCN=COC,"InChI=1S/C4H9NO/c1-3-5-4-6-2/h4H,3H2,1-2H3"
gdb_521,19.69511,1.20925,1.16405,1.514,57.94,-0.2431,0.0619,0.305,987.2389,0.117711,-270.405973,-270.397985,-270.397041,-270.439567,CC#CCCO,"InChI=1S/C5H8O/c1-2-3-4-5-6/h6H,4-5H2,1H3"
gdb_522,17.88474,1.19749,1.15436,0.1495,65.57,-0.2397,0.0646,0.3043,1048.5765,0.141123,-234.48564,-234.477444,-234.4765,-234.519304,CCCC#CC,"InChI=1S/C6H10/c1-3-5-6-4-2/h3,5H2,1-2H3"
gdb_523,21.32017,1.26339,1.22011,0.9061,59.21,-0.2424,0.0413,0.2837,974.5309,0.117121,-270.392759,-270.384807,-270.383863,-270.426097,COCC#CC,"InChI=1S/C5H8O/c1-3-4-5-6-2/h5H2,1-2H3"
gdb_524,21.2057,1.36147,1.31075,2.8689,58.57,-0.2456,0.0272,0.2729,926.9585,0.129432,-287.689262,-287.681558,-287.680614,-287.721527,CCOC=NC,"InChI=1S/C4H9NO/c1-3-6-4-5-2/h4H,3H2,1-2H3"
gdb_525,14.85379,1.31677,1.24669,0.835,62.82,-0.2579,0.0587,0.3166,950.8272,0.141225,-234.474613,-234.466965,-234.466021,-234.506066,CCCCC#C,"InChI=1S/C6H10/c1-3-5-6-4-2/h1H,4-6H2,2H3"
gdb_526,15.21364,1.3216,1.25359,4.1681,57.89,-0.3164,0.0376,0.354,924.0066,0.13111,-250.583643,-250.576387,-250.575443,-250.614891,CCCCC#N,"InChI=1S/C5H9N/c1-2-3-4-5-6/h2-4H2,1H3"
gdb_527,15.53869,1.41482,1.33271,4.2405,54.99,-0.2476,0.023,0.2706,867.8577,0.119718,-266.616319,-266.609198,-266.608253,-266.64743,CCNCC#N,"InChI=1S/C4H8N2/c1-2-6-4-3-5/h6H,2,4H2,1H3"
gdb_528,15.41191,1.48321,1.38825,1.2818,56.58,-0.2547,0.0346,0.2893,851.4059,0.11701,-270.386138,-270.378715,-270.377771,-270.417487,CCOCC#C,"InChI=1S/C5H8O/c1-3-5-6-4-2/h1H,4-5H2,2H3"
gdb_529,15.60527,1.49376,1.39916,4.5806,51.68,-0.2825,0.0109,0.2934,824.9588,0.106754,-286.492223,-286.485166,-286.484222,-286.52342,CCOCC#N,"InChI=1S/C4H7NO/c1-2-6-4-3-5/h2,4H2,1H3"
gdb_530,17.75615,1.40782,1.33715,1.0683,56.07,-0.2584,0.0547,0.3131,867.686,0.117433,-270.387395,-270.379973,-270.379028,-270.418719,COCCC#C,"InChI=1S/C5H8O/c1-3-4-5-6-2/h1H,4-5H2,2H3"
gdb_531,18.36601,1.41178,1.34418,3.7667,51.25,-0.2751,0.0324,0.3075,842.1422,0.107193,-286.495416,-286.488353,-286.487409,-286.526586,COCCC#N,"InChI=1S/C4H7NO/c1-6-4-2-3-5/h2,4H2,1H3"
gdb_532,16.26187,1.32932,1.25757,1.8394,55.5,-0.2594,0.0564,0.3158,894.418,0.117709,-270.393902,-270.386433,-270.385489,-270.425267,OCCCC#C,"InChI=1S/C5H8O/c1-2-3-4-5-6/h1,6H,3-5H2"
gdb_533,16.69433,1.33442,1.26475,4.9959,50.66,-0.282,0.0354,0.3174,867.7431,0.107556,-286.502445,-286.49537,-286.494426,-286.533599,OCCCC#N,"InChI=1S/C4H7NO/c5-3-1-2-4-6/h6H,1-2,4H2"
gdb_534,14.90738,1.23565,1.20615,2.8209,58.27,-0.248,-0.0188,0.2292,976.3209,0.141084,-271.652242,-271.644564,-271.64362,-271.684489,CCCCC=O,"InChI=1S/C5H10O/c1-2-3-4-5-6/h5H,2-4H2,1H3"
gdb_535,9.17284,1.64437,1.5162,3.6925,54.88,-0.2492,0.034,0.2832,810.6686,0.131133,-287.724713,-287.717322,-287.716377,-287.756983,CCCNC=O,"InChI=1S/C4H9NO/c1-2-3-5-4-6/h4H,2-3H2,1H3,(H,5,6)"
gdb_536,15.46437,1.39898,1.37994,4.1439,51.52,-0.2771,0.0095,0.2866,860.792,0.118294,-307.596472,-307.589259,-307.588314,-307.62831,CCCOC=O,"InChI=1S/C4H8O2/c1-2-3-6-4-5/h4H,2-3H2,1H3"
gdb_537,18.93096,1.35129,1.29188,2.899,51.36,-0.2564,-0.027,0.2294,890.8485,0.11665,-307.567279,-307.559743,-307.558799,-307.599503,CCOCC=O,"InChI=1S/C4H8O2/c1-2-6-4-3-5/h3H,2,4H2,1H3"
gdb_538,18.07094,1.30977,1.28212,2.8428,51.64,-0.2544,-0.0258,0.2285,896.28,0.117214,-307.563525,-307.556074,-307.55513,-307.595647,COCCC=O,"InChI=1S/C4H8O2/c1-6-4-2-3-5/h3H,2,4H2,1H3"
gdb_539,16.56594,1.24175,1.21031,3.2791,51.08,-0.2512,-0.0209,0.2303,920.2045,0.117582,-307.571937,-307.564452,-307.563508,-307.604035,OCCCC=O,"InChI=1S/C4H8O2/c5-3-1-2-4-6/h3,6H,1-2,4H2"
gdb_540,10.82745,1.75781,1.61458,4.0088,48.01,-0.2477,0.0352,0.2828,722.62,0.108023,-323.647099,-323.640154,-323.63921,-323.678439,OCCNC=O,"InChI=1S/C3H7NO2/c5-2-1-4-3-6/h3,5H,1-2H2,(H,4,6)"
gdb_541,10.28968,1.73795,1.57616,3.0286,48.93,-0.27,0.0147,0.2847,745.4967,0.107385,-323.61489,-323.607894,-323.60695,-323.646631,OCCOC=N,"InChI=1S/C3H7NO2/c4-3-6-2-1-5/h3-5H,1-2H2"
gdb_542,7.43799,2.17321,1.82085,3.2052,44.01,-0.281,0.0033,0.2843,648.7955,0.095121,-343.517848,-343.511052,-343.510108,-343.54935,OCCOC=O,"InChI=1S/C3H6O3/c4-1-2-6-3-5/h3-4H,1-2H2"
gdb_543,14.60008,1.12793,1.08923,0.,68.01,-0.3039,0.0917,0.3957,1142.2706,0.188559,-236.917873,-236.909445,-236.908501,-236.950436,CCCCCC,"InChI=1S/C6H14/c1-3-5-6-4-2/h3-6H2,1-2H3"
gdb_544,15.80144,1.13541,1.09517,1.3185,60.77,-0.2614,0.0813,0.3427,1080.8627,0.16513,-272.837907,-272.829692,-272.828748,-272.870294,CCCCCO,"InChI=1S/C5H12O/c1-2-3-4-5-6/h6H,2-5H2,1H3"
gdb_545,16.48602,1.20376,1.16243,1.0198,61.48,-0.2496,0.0912,0.3409,1051.6942,0.164797,-272.83072,-272.822537,-272.821593,-272.863117,CCCCOC,"InChI=1S/C5H12O/c1-3-4-5-6-2/h3-5H2,1-2H3"
gdb_546,15.76768,1.26349,1.21402,0.8667,61.68,-0.2481,0.0928,0.3409,1024.2518,0.164575,-272.836211,-272.828014,-272.82707,-272.868652,CCCOCC,"InChI=1S/C5H12O/c1-3-5-6-4-2/h3-5H2,1-2H3"
gdb_547,8.61403,1.65582,1.48653,2.2344,54.23,-0.2599,0.0832,0.3431,833.3905,0.14179,-308.759185,-308.751559,-308.750615,-308.791113,CCOCCO,"InChI=1S/C4H10O2/c1-2-6-4-3-5/h5H,2-4H2,1H3"
gdb_548,18.03364,1.21229,1.16922,2.365,54.26,-0.2515,0.078,0.3295,991.9169,0.141312,-308.749822,-308.741831,-308.740887,-308.78212,COCCCO,"InChI=1S/C4H10O2/c1-6-4-2-3-5/h5H,2-4H2,1H3"
gdb_549,19.04993,1.28796,1.24432,0.0023,54.79,-0.2512,0.0848,0.336,963.7244,0.141011,-308.741915,-308.733932,-308.732988,-308.774251,COCCOC,"InChI=1S/C4H10O2/c1-5-3-4-6-2/h3-4H2,1-2H3"
gdb_550,17.20216,1.14331,1.10143,0.0002,53.58,-0.2614,0.0773,0.3388,1019.4799,0.141711,-308.757991,-308.749984,-308.74904,-308.79022,OCCCCO,"InChI=1S/C4H10O2/c5-3-1-2-4-6/h5-6H,1-4H2"
gdb_551,9.7394,2.33341,2.0649,0.7819,59.52,-0.2544,0.0501,0.3045,624.2663,0.119752,-233.25376,-233.247695,-233.24675,-233.283102,C#CC1CCC1,"InChI=1S/C6H8/c1-2-6-4-3-5-6/h1,6H,3-5H2"
gdb_552,9.56893,2.53695,2.27029,1.8509,51.95,-0.2535,0.0206,0.274,567.0194,0.095784,-269.170508,-269.164562,-269.163618,-269.200269,C#CC1CCO1,"InChI=1S/C5H6O/c1-2-5-3-4-6-5/h1,5H,3-4H2"
gdb_553,10.17573,2.39853,2.15322,1.2731,51.72,-0.2533,0.0374,0.2907,579.431,0.095926,-269.170061,-269.164157,-269.163213,-269.199558,C#CC1COC1,"InChI=1S/C5H6O/c1-2-5-3-6-4-5/h1,5H,3-4H2"
gdb_554,9.7226,2.37649,2.09674,4.1766,54.24,-0.3085,0.0282,0.3367,599.6434,0.109648,-249.362379,-249.35669,-249.355746,-249.391553,N#CC1CCC1,"InChI=1S/C5H7N/c6-4-5-2-1-3-5/h5H,1-3H2"
gdb_555,8.19482,2.68797,2.48393,3.0536,50.2,-0.2526,0.0144,0.267,538.446,0.098381,-265.398572,-265.392993,-265.392048,-265.427692,N#CC1CCN1,"InChI=1S/C4H6N2/c5-3-4-1-2-6-4/h4,6H,1-2H2"
gdb_556,9.33153,2.61233,2.34471,4.2848,46.71,-0.2807,-0.0024,0.2783,539.6838,0.085545,-285.275928,-285.270351,-285.269407,-285.30544,N#CC1CCO1,"InChI=1S/C4H5NO/c5-3-4-1-2-6-4/h4H,1-2H2"
gdb_557,10.16978,2.44557,2.18948,2.742,46.76,-0.2731,0.0136,0.2867,555.134,0.085731,-285.276468,-285.270937,-285.269993,-285.305789,N#CC1COC1,"InChI=1S/C4H5NO/c5-1-4-2-6-3-4/h4H,2-3H2"
gdb_558,9.64201,2.2122,1.97612,2.8867,54.48,-0.2459,-0.023,0.2229,636.1846,0.119748,-270.431243,-270.425177,-270.424232,-270.46122,O=CC1CCC1,"InChI=1S/C5H8O/c6-4-5-2-1-3-5/h4-5H,1-3H2"
gdb_559,9.75537,2.43167,2.1475,2.8301,46.71,-0.2487,-0.0357,0.2129,575.5626,0.095537,-306.349558,-306.343561,-306.342617,-306.37988,O=CC1CCO1,"InChI=1S/C4H6O2/c5-3-4-1-2-6-4/h3-4H,1-2H2"
gdb_560,9.92569,2.31264,2.09564,1.1864,46.85,-0.2557,-0.0341,0.2215,583.4738,0.095867,-306.347185,-306.341242,-306.340298,-306.377564,O=CC1COC1,"InChI=1S/C4H6O2/c5-1-4-2-6-3-4/h1,4H,2-3H2"
gdb_561,9.72204,2.56437,2.11019,4.2072,52.08,-0.2396,0.0265,0.2661,586.133,0.108991,-286.498779,-286.492684,-286.49174,-286.529456,O=CN1CCC1,"InChI=1S/C4H7NO/c6-4-5-2-1-3-5/h4H,1-3H2"
gdb_562,9.86113,2.62587,2.15831,2.0739,52.85,-0.2475,0.0325,0.28,592.3635,0.108198,-286.484121,-286.477884,-286.47694,-286.514266,CN=C1CCO1,"InChI=1S/C4H7NO/c1-5-4-2-3-6-4/h2-3H2,1H3"
